barracks		[n]兵营
gristly			[a]<<biology>>软骨的
blackguard		[n]恶棍；[a]粗鄙的
wherein			[adv][prep]在其中
juggle			[v]玩戏法，欺骗
thataway		[adv]按指示，朝那个方向
wagon			[n]马车
pointy			[a]尖的
trot			[v]慢跑；[n]小步
movable			
oaf				[n]呆子，白痴，畸形儿
sloven			[n]懒散的人，不修边幅的人
feud			[n]争执
clad			[a]穿衣的；[n]金属保护层
cutthroat		[a]残酷的；[n]凶手
desecration		[n]亵渎
serenade		[n]小夜曲
mainspring		[n]丰富动力，主发条
developmental	[a]发展的，启发的
ginger			[n]姜；[v]用姜调味；使有活力
squeal			[n]尖叫；（向警方）告密
squirm			[n]蠕动；不舒服
mores			[n]习俗，道德理念
townsfolk		[n]市民，镇民
spectacle		[n]场景；演出
lining			[n]内层
flock			[n]群；棉束
tryst			[n]幽会
minstrel		[n]歌手，艺人，吟游诗人
eunuch			[n]太监
soak			[v]吸入，浸泡
heinous			[a]可憎的，十恶不赦的
denizen			[v]给居住权；[n]常客；外来语
lousy			[a]讨厌的，污秽的
panache			[n]<<French>>羽饰；耍派头
lode			[n]矿脉
sturdy			[a]坚定的，强健的
lullaby			[n]摇篮曲
pinewood		[n]松木，松林
pine			[n]松树，凤梨，菠萝；[v]渴望，哀悼
boatwright		[n]造船工人
snot			[v]流鼻涕
snotter			[n]鼻涕
whimper			[n]呜咽，啜泣；呜咽声，啜泣声
cadaverine		[n]尸胺，1，5-戊二胺
overripe		过熟的
zounds			[interj]咒骂声
flail			乱动，猛击；连枷
wrapping		包装纸
granary			谷仓
golem			有生命的泥人，魔像
porcelain		瓷器；瓷制的，精美的
ironclad		穿铁甲的，坚固的；铁甲舰
cling			坚持，附着，紧贴
brine			卤水，盐水；用浓盐水处理
pickle			泡菜；腌制
untouched		未受影响的
unmatched		无与伦比的，无可匹敌的
crumb			面包屑；弄碎，捏碎
sensory			感觉的，知觉的
fondue			[n]<<French>><<dietetics>>溶化奶油，干酪，芝士火锅
grana padano	[n]<<dietetics>>波河干奶酪
kestrel			茶隼，小鹰
marble			大理石；冷酷无情的
plafond			天花板画，装饰的天花板
sludge			泥泞，沉淀物，浮冰
ford			浅滩；涉水而过
furuncle		疖
resultant		合力，结果；由此导致的
wheeze			喘息；喘息声
poker			拔火棍；烙
beforehand		预先，提前
ironically		讽刺地
lark			云雀，百灵鸟；愚弄，嬉耍
monty			必定的事物（尤其指赛马时必赢的马）
afeard			恐惧的
portrayal		描绘，肖像
afore			在......之前
undergrowth		林下植物
white elephant	没价值的东西，需要大量精力却没什么产出的东西，对所有者没有意义但对他人有用的东西
gambit			玩家通过几步冒险而获得优势的棋类开局，用于导出话题的标志，说话的主题，精心计算的行动
bruit			散播谣言
teleological	目的论
chilblain		由于冻伤而形成的发炎性肿胀或溃疡
sobriquet		[n]描述性的名字或绰号，昵称
respite			暂时的休息
lackadaisical	死气沉沉的
undulate		随波浮动，在音量/音调或韵律上升降，有一个波浪形的外表
pedagogical		说教的
aerie			悬崖或山顶的鸟巢，高且隐蔽的住所或位置
coruscate		一闪一闪，在技术或风格上出色或炫耀
Noachian		与Noah有关的，古老的
spoonerism		首音互换（tons of soil for sons of toil）
toil			苦工，艰苦地行走
fiduciary		关于信任的；信托基金
knackered		筋疲力尽的
deke			欺骗以使对手失去优势，（冰球）佯攻
decoy			诱饵，诱骗
hobbyhorse		木马，跳舞用的木马
maunder			缓慢且毫无目的地走，不直接地说
grumble			不满意地说，大声且低沉地说
growl			咆哮
rumble			低沉地说
